Shipment ID	FBA15Q64BLFQ
Name	FBA (8/17/20, 9:53 PM) - 2
Plan ID	PLN2YLH944
Ship To	Amazon.com Services, Inc., 1401 E McCarty Lane, San Marcos, TX, US, 78666-8969
Total SKUs	3
Total Units	26
shipment-total-cases	3
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-3	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Aqua Turquoise	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	"--"	"--"	"--"	6	1	6
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	1	12
R005-1	Chardin home Denim Jute Runner Rug. Size: 24"x60"	B074W75Q83	B074W75Q83	EAN : 8902552050163	New	"--"	"--"	"--"	8	1	8
